,System Pout Consumption Energy [kWh],System Pout AC-coupling Energy [kWh],System Pin Consumption Energy [kWh],System Pin Injection Energy [kWh],System Batt Charge Energy [kWh],System Batt Discharge Energy [kWh],Solar Power Energy [kWh]
2018-01-01,6.265833333333219,0.0,0.0,0.0,4.306574960000001,-4.672860198333337,6.237333333333321
2018-01-02,6.2643333333332,0.0,0.0,0.0,0.8842555116666676,-4.914500888333339,2.4704999999999973
2018-01-03,2.597000000000002,0.0,0.0,0.0,0.3959086983333338,-2.5730339033333767,0.577500000000001
2018-01-04,0.0,0.0,0.0,0.0,0.05320967999999999,-0.08968569000000173,0.1011666666666655
2018-01-05,1.993666666666674,0.0,0.0,0.0,2.070405056666667,-0.9895866516666677,3.205499999999995
2018-01-06,3.369999999999888,0.0,0.0,0.0,10.209434439999995,-2.239543694999997,11.569333333333308
2018-01-07,3.3599999999998884,0.0,0.0,0.0,0.7234669083333335,-2.346314519999999,1.7101666666666675
2018-01-08,3.3821666666665573,0.0,0.0,0.0,0.2876119249999997,-2.5294322716666646,1.0971666666666673
2018-01-09,3.3724999999998913,0.0,0.0,0.0,0.053430965,-2.5146403583333186,0.8521666666666673
2018-01-10,3.3349999999998845,0.0,0.0,0.0,4.456789533333336,-2.183291006666668,5.751999999999997
2018-01-11,3.321333333333228,0.0,0.0,0.0,7.890221036666662,-2.279530744999989,9.19133333333332
2018-01-12,3.331666666666544,0.0,0.0,0.0,5.488123206666668,-2.212153964999997,6.793166666666649
2018-01-13,3.475999999999952,0.0,0.0,0.0,12.014304675000004,-2.374403443333338,13.476500000000005
2018-01-14,3.444333333333266,0.0,0.0,0.0,7.987624319999998,-2.3262334249999905,9.398666666666678
2018-01-15,3.787833333333276,0.0,0.0,0.0,5.197390483333333,-2.5192691150000055,6.687000000000004
2018-01-16,3.83999999999993,0.0,0.0,0.0,0.6361665633333335,-2.9615519366666545,1.6176666666666695
2018-01-17,3.8579999999999135,0.0,0.0,0.0,0.30140084499999986,-2.8202015683333532,1.425833333333333
2018-01-18,3.8496666666665984,0.0,0.0,0.0,0.009508518333333334,-3.4294724016666924,0.5036666666666668
2018-01-19,3.841999999999928,0.0,0.0,0.0,1.477087388333334,-2.932556878333342,2.538000000000001
2018-01-20,3.840166666666597,0.0,0.0,0.0,0.0,-3.657955450000012,0.23449999999999865
2018-01-21,3.869333333333258,0.0,0.0,0.0,0.00024569333333333333,-3.4405148816666533,0.46783333333333293
2018-01-22,3.844333333333263,0.0,0.0,0.0,0.08738882499999998,-3.211509998333342,0.8086666666666672
2018-01-23,3.8648333333332436,0.0,0.0,0.0,8.676375141666675,-2.5865244400000096,10.364666666666663
2018-01-24,3.88149999999992,0.0,0.0,0.0,11.766114226666673,-2.55689336666666,13.542333333333302
2018-01-25,3.906166666666573,0.0,0.0,0.0,8.129895048333337,-2.524883765000003,9.828333333333324
