,Month number of day,Missing/corrupted,Days to compensate,Comp factor,System Pout Consumption Energy [kWh],System Pout AC-coupling Energy [kWh],System Pin Consumption Energy [kWh],System Pin Injection Energy [kWh],System Batt Charge Energy [kWh],System Batt Discharge Energy [kWh],Solar Power Energy [kWh]
2018-01-31,31,0,0,1.0,113.19116666666422,0.0,0.0,0.0,116.12353737666666,-82.5530813733334,152.2929999999998
2018-02-28,28,0,0,1.0,109.09899999999779,0.0,0.0,0.0,84.97894148333349,-74.23151531166675,124.87666666666657
2018-03-31,31,0,0,1.0,364.52283333333236,0.0,217.10849999999996,0.0,170.6695458666667,-154.63885711333336,173.03133333333318
2018-04-30,30,1,1,1.0344827586206897,524.2756666666661,0.0,311.0818333333333,0.0,230.9303631716666,-205.44888355500004,255.12833333333322
2018-05-31,31,0,0,1.0,220.82750000000075,0.0,32.18683333333334,0.0,127.14312315999999,-110.64938085333333,217.4004999999998
2018-06-30,30,0,0,1.0,247.1516666666668,0.0,53.57516666666666,0.0,129.6721832166667,-116.91355372999996,218.9396666666663
2018-07-31,31,1,1,1.0333333333333334,523.9798333333327,0.0,400.6676666666668,0.0,302.92898607000006,-259.7794782066666,192.57533333333296
2018-08-31,31,0,0,1.0,487.7093333333334,0.0,351.43666666666655,-0.00016666666666666666,267.6406865166667,-221.26163373333338,208.5614999999994
2018-09-30,30,0,0,1.0,220.95750000000226,0.0,80.57566666666676,0.0,139.08658971000003,-116.79466714500006,175.88433333333305
2018-10-31,31,0,0,1.0,171.06783333333556,0.0,5.633166666666698,0.0,112.60998352166663,-109.66544212666672,176.22033333333326
2018-11-30,30,1,1,1.0344827586206897,153.28483333333355,0.0,0.0,0.0,124.59842778500001,-107.10983041333326,179.21749999999983
2018-12-31,31,0,0,1.0,14.943833333333325,0.0,0.0,0.0,40.72389676333332,-14.749585771666684,44.781166666666635
